Source,web_scraper_order,specialization,fees,avg_rate,waiting_time,clinic_location,rate_count,doctor_views,pages
187 (1),1676136784-653,Dermatologist,110 EGP,4.5,Waiting Time : 24 Minutes,Aga : elgalaa street,From 28 Visitors,"1,493 View(s)",
188 (1),1676136787-654,Physiotherapist,300 EGP,,null,Heliopolis : Elmontazah St from ElHegaz St,null,279 View(s),
189 (1),1676136790-655,Dentist,150 EGP,4.5,Waiting Time : 26 Minutes,Maadi Ring Road,From 11 Visitors,264 View(s),
190 (1),1676136793-656,Gynecologist,300 EGP,5,Waiting Time : 20 Minutes,Hadayek El-Ahram : z,From 3 Visitors,60 View(s),
191 (1),1676136796-657,Cardiologist,450 EGP,,null,El-Dokki,null,298 View(s),
192 (1),1676136799-658,Orthopedist,250 EGP,5,Waiting Time : 7 Minutes,El-Giza : Hamadan,From 5 Visitors,161 View(s),
193 (1),1676136802-659,Internist,250 EGP,4.5,Waiting Time : 9 Hours and 7 Minutes,6th of October : al mehwar al markzi,From 28 Visitors,"4,755 View(s)",
194 (1),1676136805-660,Dentist,300 EGP,4.5,Waiting Time : 23 Minutes,Nasr City,From 38 Visitors,"1,566 View(s)",
195 (1),1676136807-661,Internist,200 EGP,4,Waiting Time : 12 Minutes,06-Oct,From 66 Visitors,"1,824 View(s)",
196 (1),1676136813-662,Pediatrician,350 EGP,4.5,Waiting Time : 8 Minutes,Heliopolis,From 66 Visitors,"1,840 View(s)",
197 (1),1676136481-595,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,703 View(s)",1048
198 (1),1676136484-596,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,184 View(s)",1048
199 (1),1676136487-597,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,743 View(s)",1048
200 (1),1676136490-598,Gynecologist,150 EGP,,null,El-Haram,null,"1,154 View(s)",1048
201 (1),1676136493-599,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,050 View(s)",1048
202 (1),1676136499-600,General Surgeon,150 EGP,4.5,Waiting Time : 7 Minutes,Helwan,From 67 Visitors,"5,550 View(s)",...
203 (1),1676136502-601,Gynecologist,350 EGP,4.5,Waiting Time : 14 Minutes,Faisal street,From 407 Visitors,"13,950 View(s)",...
204 (1),1676136505-602,Internist,200 EGP,4.5,Waiting Time : 28 Minutes,Mahalla : Talaat Harb street,From 12 Visitors,"1,269 View(s)",...
205 (1),1676136508-603,Psychiatrist,210 EGP,4.5,Waiting Time : 43 Minutes,Mahalla,From 207 Visitors,"18,530 View(s)",...
206 (1),1676136511-604,Internist,200 EGP,4.5,Waiting Time : 10 Minutes,El-Ibrahimia,From 148 Visitors,"7,431 View(s)",...
207 (1),1676136537-605,Ophthalmologist,150 EGP,5,Waiting Time : 10 Minutes,El-Zagazig : tolba eweda street infront of salah salem hospital above lcwikiki,From 174 Visitors,"8,396 View(s)",...
208 (1),1676136540-606,Pediatrician,300 EGP,4.5,Waiting Time : 13 Minutes,Alharam street,From 53 Visitors,"1,450 View(s)",...
209 (1),1676136543-607,Internist,450 EGP,,null,El-Dokki,null,626 View(s),...
210 (1),1676136547-608,Gynecologist,300 EGP,4.5,Waiting Time : 4 Minutes,Heliopolis,From 62 Visitors,"4,330 View(s)",...
211 (1),1676136550-609,Internist,400 EGP,4.5,Waiting Time : 29 Minutes,Heliopolis : -behind Miliatry College,From 262 Visitors,"8,915 View(s)",...
212 (1),1676136557-610,Dermatologist,110 EGP,4.5,Waiting Time : 24 Minutes,Aga : elgalaa street,From 28 Visitors,"1,493 View(s)",84
213 (1),1676136560-611,Physiotherapist,300 EGP,,null,Heliopolis : Elmontazah St from ElHegaz St,null,279 View(s),84
214 (1),1676136564-612,Dentist,150 EGP,4.5,Waiting Time : 26 Minutes,Maadi Ring Road,From 11 Visitors,264 View(s),84
215 (1),1676136570-613,Gynecologist,300 EGP,5,Waiting Time : 20 Minutes,Hadayek El-Ahram : z,From 3 Visitors,59 View(s),84
216 (1),1676136573-614,Cardiologist,450 EGP,,null,El-Dokki,null,298 View(s),84
217 (1),1676136576-615,Orthopedist,250 EGP,5,Waiting Time : 7 Minutes,El-Giza : Hamadan,From 5 Visitors,161 View(s),84
218 (1),1676136579-616,Internist,250 EGP,4.5,Waiting Time : 9 Hours and 7 Minutes,6th of October : al mehwar al markzi,From 28 Visitors,"4,755 View(s)",84
219 (1),1676136582-617,Pediatrician,350 EGP,4.5,Waiting Time : 8 Minutes,Heliopolis,From 66 Visitors,"1,839 View(s)",84
220 (1),1676136591-618,Dentist,300 EGP,4.5,Waiting Time : 15 Minutes,El-Dokki : Musadak Street-Infront Of Dunkin Donuts,From 16 Visitors,375 View(s),84
221 (1),1676136594-619,Urologist,400 EGP,5,Waiting Time : 11 Minutes,Nasr City : Mostafa elnhas St,From 167 Visitors,"4,290 View(s)",84
222 (1),1676136600-620,Gynecologist,400 EGP,5,Waiting Time : 8 Minutes,El-Maadi : 9th St.,From 5 Visitors,606 View(s),
223 (1),1676136602-621,Dentist,300 EGP,4.5,Waiting Time : 23 Minutes,Nasr City,From 38 Visitors,"1,565 View(s)",
224 (1),1676136605-622,Internist,200 EGP,4,Waiting Time : 12 Minutes,06-Oct,From 66 Visitors,"1,823 View(s)",
225 (1),1676136608-623,Surgical Oncologist,500 EGP,4,Waiting Time : 18 Minutes,El-Mokattam : 9 street,From 11 Visitors,"3,575 View(s)",
226 (1),1676136611-624,Cardiologist,600 EGP,5,Waiting Time : 10 Minutes,El-Mohandessin : Alfawakh St,From 3 Visitors,567 View(s),
227 (1),1676136614-625,Pediatrician,250 EGP,5,Waiting Time : 5 Minutes,6th of October,From 76 Visitors,"3,171 View(s)",
228 (1),1676136617-626,Oncologist,400 EGP,5,Waiting Time : 1 Hour and 1 Minute,Tanta : El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower,From 39 Visitors,"12,697 View(s)",
229 (1),1676136620-627,Nutritionist,350 EGP,5,Waiting Time : 6 Minutes,Hadayek El-Ahram : first entrance of first gate,From 274 Visitors,"2,929 View(s)",
230 (1),1676136623-628,Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,Hadayek El-Ahram : El Geish street,From 46 Visitors,"1,991 View(s)",
231 (1),1676136626-629,Dermatologist,300 EGP,4.5,Waiting Time : 12 Minutes,El-Maadi : Al Nasr St. - Gazaer Square,From 412 Visitors,"8,356 View(s)",
232 (1),1676136248-585,Dentist,100 EGP,4.5,Waiting Time : 20 Minutes,El-Mokattam,From 58 Visitors,"101,865 View(s)",
233 (1),1676136262-586,Dentist,150 EGP,4.5,Waiting Time : 13 Minutes,"El-Mokattam : Behinde pharmacy college MTI, AlHdba AlWosta",From 171 Visitors,"5,127 View(s)",
234 (1),1676136269-587,Orthopedist,400 EGP,4.5,Waiting Time : 11 Minutes,El-Rehab,From 20 Visitors,"2,870 View(s)",
235 (1),1676136272-588,Surgical Oncologist,500 EGP,4,Waiting Time : 18 Minutes,El-Mokattam : 9 street,From 11 Visitors,"3,574 View(s)",
236 (1),1676136274-589,Hepatologist,550 EGP,4.5,Waiting Time : 1 Hour and 36 Minutes,Heliopolis : botrous ghaly street,From 100 Visitors,"25,477 View(s)",
237 (1),1676136277-590,Dermatologist,280 EGP,4.5,Waiting Time : 9 Minutes,Hadayek El-Ahram,From 141 Visitors,"8,761 View(s)",
238 (1),1676136280-591,Dermatologist,300 EGP,4.5,Waiting Time : 12 Minutes,Hadayek El-Ahram,From 204 Visitors,"5,509 View(s)",
239 (1),1676136283-592,General Surgeon,250 EGP,4.5,Waiting Time : 7 Minutes,6th of October : Borie Plaza 1-Elhossary Square,From 12 Visitors,"1,334 View(s)",
240 (1),1676136286-593,Internist,200 EGP,4.5,Waiting Time : 36 Minutes,Imbaba : Elwahda street,From 675 Visitors,"31,134 View(s)",
241 (1),1676136289-594,Urologist,400 EGP,4.5,Waiting Time : 15 Minutes,Fifth Settlement Medical Center,From 581 Visitors,320 View(s),
242 (1),1676135886-534,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,702 View(s)",1048
243 (1),1676135889-535,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,182 View(s)",1048
244 (1),1676135892-536,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,742 View(s)",1048
245 (1),1676135895-537,Gynecologist,150 EGP,,null,El-Haram,null,"1,152 View(s)",1048
246 (1),1676135898-538,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,048 View(s)",1048
247 (1),1676135905-539,Cardiologist,600 EGP,5,Waiting Time : 10 Minutes,El-Mohandessin : Alfawakh St,From 3 Visitors,565 View(s),...
248 (1),1676135908-540,Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,Hadayek El-Ahram : El Geish street,From 46 Visitors,"1,990 View(s)",...
249 (1),1676135915-541,Dentist,100 EGP,4.5,Waiting Time : 10 Minutes,El-Haram : Haram,From 59 Visitors,"2,971 View(s)",...
250 (1),1676135919-542,Dentist,100 EGP,5,Waiting Time : 8 Minutes,El-Zaitoun : Selim Elawal Street-Egypt Air Towers-Above Eltayaran Supermarket,From 44 Visitors,959 View(s),...
251 (1),1676135922-543,Neurosurgeon,450 EGP,,null,Nasr City : ahmad elzumor,null,108 View(s),...
252 (1),1676135932-544,Infertility Specialist,150 EGP,4.5,Waiting Time : 50 Minutes,El-Mokattam,From 10 Visitors,"1,685 View(s)",...
253 (1),1676135936-545,Orthopedist,250 EGP,5,Waiting Time : 38 Minutes,El-Mohandessin,From 23 Visitors,"1,491 View(s)",...
254 (1),1676135940-546,Gynecologist,350 EGP,5,Waiting Time : 9 Minutes,151 Street - Horreya Square,From 12 Visitors,757 View(s),...
255 (1),1676135944-547,Nutritionist,350 EGP,5,Waiting Time : 6 Minutes,Hadayek El-Ahram : first entrance of first gate,From 274 Visitors,"2,928 View(s)",...
256 (1),1676135947-548,Ophthalmologist,200 EGP,4,Waiting Time : 47 Minutes,Shibin El-Kom : hakma square,From 61 Visitors,"3,268 View(s)",...
257 (1),1676135954-549,Oncologist,400 EGP,5,Waiting Time : 1 Hour and 1 Minute,Tanta : El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower,From 39 Visitors,"12,696 View(s)",78
258 (1),1676135957-550,Dentist,200 EGP,,null,north Teseen ST,null,176 View(s),78
259 (1),1676135960-551,General Surgeon,250 EGP,4.5,Waiting Time : 16 Minutes,06-Oct,From 11 Visitors,"1,555 View(s)",78
260 (1),1676135965-552,,null,,null,El-Maadi,null,"4,583 View(s)",78
261 (1),1676135967-553,Urologist,120 EGP,4.5,Waiting Time : 21 Minutes,El-Zagazig : obour bridge next to sawaf restaurant,From 117 Visitors,"10,073 View(s)",78
262 (1),1676135970-554,Physiotherapist,220 EGP,5,Waiting Time : 17 Minutes,El-Obour City,From 56 Visitors,"1,678 View(s)",78
263 (1),1676135976-555,Physiotherapist,300 EGP,5,Waiting Time : 6 Minutes,El-Rehab,From 30 Visitors,776 View(s),
264 (1),1676135978-556,ENT Doctor,300 EGP,5,Waiting Time : 6 Minutes,6th of October : Central Axis,From 821 Visitors,"10,366 View(s)",
265 (1),1676135981-557,Dentist,150 EGP,5,Waiting Time : 9 Minutes,Imbaba,From 263 Visitors,"15,026 View(s)",
266 (1),1676135984-558,Cardiologist,350 EGP,5,Waiting Time : 12 Minutes,El-Maadi,From 128 Visitors,"6,022 View(s)",
267 (1),1676135987-559,Neurologist,250 EGP,4.5,Waiting Time : 17 Minutes,Shibin El-Kom,From 182 Visitors,"25,838 View(s)",
268 (1),1676135990-560,Gynecologist,110 EGP,5,Waiting Time : 17 Minutes,Banha : 5 ibn Hagag street,From 16 Visitors,"3,670 View(s)",
269 (1),1676135992-561,Pediatrician,200 EGP,5,Waiting Time : 8 Minutes,El-Mansoura : 6 october street branched from ahmed maher street,From 152 Visitors,"7,499 View(s)",
270 (1),1676135995-562,General Surgeon,300 EGP,4.5,Waiting Time : 4 Minutes,Nasr City,From 69 Visitors,"6,392 View(s)",
271 (1),1676135998-563,Neurologist,600 EGP,4.5,Waiting Time : 8 Minutes,Nasr City : AbdElhamid awad,From 196 Visitors,"24,536 View(s)",
272 (1),1676136001-564,Urologist,500 EGP,4.5,Waiting Time : 30 Minutes,El-Maadi : Elnasr Street,From 84 Visitors,"6,193 View(s)",
273 (1),1676135320-500,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,699 View(s)",1048
274 (1),1676135324-501,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,182 View(s)",1048
275 (1),1676135327-502,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,741 View(s)",1048
276 (1),1676135329-503,Gynecologist,150 EGP,,null,El-Haram,null,"1,152 View(s)",1048
277 (1),1676135332-504,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,048 View(s)",1048
278 (1),1676135340-505,Cardiologist,350 EGP,5,Waiting Time : 7 Minutes,West El-Balad : el tahreer street,From 289 Visitors,"15,491 View(s)",...
279 (1),1676135343-506,Pediatrician,200 EGP,5,Waiting Time : 14 Minutes,El-Badrashin,From 19 Visitors,"1,120 View(s)",...
280 (1),1676135355-507,Gastroenterologist,250 EGP,5,Waiting Time : 18 Minutes,Faisal : Elatabaa Building Fasil Elnadii St,From 437 Visitors,"9,543 View(s)",...
281 (1),1676135358-508,Andrologist,210 EGP,5,Waiting Time : 12 Minutes,El-Mansoura,From 234 Visitors,"11,366 View(s)",...
282 (1),1676135361-509,Orthopedist,155 EGP,5,Waiting Time : 17 Minutes,El-Zagazig,From 147 Visitors,"13,947 View(s)",...
283 (1),1676135363-510,ENT Doctor,320 EGP,5,Waiting Time : 11 Minutes,El-Mansoura : el mahta square,From 47 Visitors,"3,378 View(s)",...
284 (1),1676135371-511,ENT Doctor,170 EGP,5,Waiting Time : 8 Minutes,Faisal : khaled ibn waleed st,From 481 Visitors,"6,020 View(s)",...
285 (1),1676135378-512,Physiotherapist,300 EGP,5,Waiting Time : 6 Minutes,El-Rehab,From 30 Visitors,776 View(s),...
286 (1),1676135381-513,Urologist,120 EGP,4.5,Waiting Time : 21 Minutes,El-Zagazig : obour bridge next to sawaf restaurant,From 117 Visitors,"10,071 View(s)",...
287 (1),1676135386-514,Gynecologist,300 EGP,5,Waiting Time : 4 Minutes,Nasr City : mostafa elnahas,From 277 Visitors,"11,643 View(s)",...
288 (1),1676135392-515,ENT Doctor,300 EGP,5,Waiting Time : 6 Minutes,6th of October : Central Axis,From 821 Visitors,"10,365 View(s)",76
289 (1),1676135396-516,Dentist,150 EGP,5,Waiting Time : 9 Minutes,Imbaba,From 263 Visitors,"15,025 View(s)",76
290 (1),1676135398-517,Cardiologist,350 EGP,5,Waiting Time : 12 Minutes,El-Maadi,From 128 Visitors,"6,021 View(s)",76
291 (1),1676135409-518,Neurologist,250 EGP,4.5,Waiting Time : 17 Minutes,Shibin El-Kom,From 182 Visitors,"25,837 View(s)",76
292 (1),1676135412-519,Pediatrician,200 EGP,5,Waiting Time : 8 Minutes,El-Mansoura : 6 october street branched from ahmed maher street,From 152 Visitors,"7,499 View(s)",76
293 (1),1676135418-520,General Surgeon,300 EGP,4.5,Waiting Time : 4 Minutes,Nasr City,From 69 Visitors,"6,391 View(s)",76
294 (1),1676135426-521,Gynecologist,110 EGP,5,Waiting Time : 17 Minutes,Banha : 5 ibn Hagag street,From 16 Visitors,"3,669 View(s)",76
295 (1),1676135431-522,Dentist,200 EGP,5,Waiting Time : 8 Minutes,6th of October,From 348 Visitors,"9,723 View(s)",76
296 (1),1676135433-523,Dentist,250 EGP,4.5,Waiting Time : 13 Minutes,Heliopolis : Al Hegaz - Heliopolis Square.,From 128 Visitors,"10,864 View(s)",76
297 (1),1676135439-524,Orthopedist,300 EGP,5,Waiting Time : 16 Minutes,El-Manyal : manyal street,From 158 Visitors,"2,869 View(s)",
298 (1),1676135442-525,Pediatrician,250 EGP,4.5,Waiting Time : 13 Minutes,Nasr City,From 10 Visitors,"1,065 View(s)",
299 (1),1676135444-526,Endocrinologist,300 EGP,4.5,Waiting Time : 22 Minutes,north teseen street,From 51 Visitors,"1,669 View(s)",
300 (1),1676135447-527,Neurosurgeon,350 EGP,5,Waiting Time : 15 Minutes,"El-Maadi : Sakr Quraysh, Al Bahs Al Genaea",From 66 Visitors,"2,636 View(s)",
301 (1),1676135451-528,Cardiologist,200 EGP,5,Waiting Time : 18 Minutes,Heliopolis,From 251 Visitors,"7,381 View(s)",
302 (1),1676135454-529,Surgical Oncologist,300 EGP,5,Waiting Time : 19 Minutes,El-Giza : mourad,From 20 Visitors,"2,755 View(s)",
303 (1),1676135457-530,ENT Doctor,400 EGP,4.5,Waiting Time : 1 Hour and 49 Minutes,6th of October,From 139 Visitors,"5,025 View(s)",
304 (1),1676135460-531,Neurosurgeon,370 EGP,5,Waiting Time : 29 Minutes,6th of October,From 666 Visitors,"23,752 View(s)",
305 (1),1676135463-532,Cardiologist,300 EGP,4.5,Waiting Time : 59 Minutes,Janaklees,From 164 Visitors,"13,140 View(s)",
306 (1),1676135466-533,Dentist,100 EGP,4.5,Waiting Time : 1 Hour and 53 Minutes,El-Manyal : Almanial main Street,From 62 Visitors,"3,903 View(s)",
307 (1),1676135044-468,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,699 View(s)",1048
308 (1),1676135046-469,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,181 View(s)",1048
309 (1),1676135049-470,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,737 View(s)",1048
310 (1),1676135052-471,Gynecologist,150 EGP,,null,El-Haram,null,"1,148 View(s)",1048
311 (1),1676135055-472,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,047 View(s)",1048
312 (1),1676135061-473,ENT Doctor,320 EGP,5,Waiting Time : 11 Minutes,El-Mansoura : el mahta square,From 47 Visitors,"3,377 View(s)",...
313 (1),1676135075-474,Ophthalmologist,150 EGP,5,Waiting Time : 19 Minutes,El-Fayoum city : elmsla next to misr for insurance building next to city tower,From 94 Visitors,"3,052 View(s)",...
314 (1),1676135101-475,General Surgeon,250 EGP,4.5,Waiting Time : 14 Minutes,Shibin El-Kom : sharaf square dewan tower,From 21 Visitors,"2,002 View(s)",...
315 (1),1676135106-476,Gynecologist,250 EGP,5,Waiting Time : 13 Minutes,El-Shorouk,From 13 Visitors,833 View(s),...
316 (1),1676135109-477,Physiotherapist,150 EGP,5,Waiting Time : 29 Minutes,Banha : behind mohafza,From 12 Visitors,"1,627 View(s)",...
317 (1),1676135112-478,Obesity Surgeon,250 EGP,5,Waiting Time : 16 Minutes,Shibin El-Kom,From 13 Visitors,"2,387 View(s)",...
318 (1),1676135115-479,Neurosurgeon,370 EGP,5,Waiting Time : 29 Minutes,6th of October,From 666 Visitors,"23,752 View(s)",...
319 (1),1676135127-480,General Surgeon,200 EGP,5,Waiting Time : 6 Minutes,El-Zagazig : tolba eweda street,From 55 Visitors,"10,349 View(s)",...
320 (1),1676135131-481,Rheumatologist,400 EGP,4,Waiting Time : 14 Minutes,El-Sayeda Zainab : Port Saeed Street,From 68 Visitors,"5,671 View(s)",...
321 (1),1676135135-482,Dermatologist,400 EGP,4.5,Waiting Time : 33 Minutes,West El-Balad : Mohamed farid - Abdein,From 128 Visitors,"18,605 View(s)",...
322 (1),1676135141-483,Neurosurgeon,350 EGP,5,Waiting Time : 15 Minutes,"El-Maadi : Sakr Quraysh, Al Bahs Al Genaea",From 66 Visitors,"2,635 View(s)",74
323 (1),1676135144-484,Cardiologist,300 EGP,4.5,Waiting Time : 59 Minutes,Janaklees,From 164 Visitors,"13,140 View(s)",74
324 (1),1676135147-485,Dentist,100 EGP,4.5,Waiting Time : 1 Hour and 53 Minutes,El-Manyal : Almanial main Street,From 62 Visitors,"3,903 View(s)",74
325 (1),1676135150-486,Internist,210 EGP,4.5,Waiting Time : 20 Minutes,El-Mansoura : kanat el swiss st,From 199 Visitors,"7,357 View(s)",74
326 (1),1676135153-487,Dentist,100 EGP,5,Waiting Time : 14 Minutes,Faisal,From 93 Visitors,"3,644 View(s)",74
327 (1),1676135156-488,Ophthalmologist,250 EGP,5,Waiting Time : 12 Minutes,Heliopolis : hegaz street,From 283 Visitors,"10,072 View(s)",74
328 (1),1676135159-489,Dermatologist,150 EGP,4.5,Waiting Time : 8 Minutes,10th of Ramadan : Ordinia St.,From 216 Visitors,"6,719 View(s)",74
329 (1),1676135164-490,ENT Doctor,400 EGP,4.5,Waiting Time : 1 Hour and 49 Minutes,6th of October,From 139 Visitors,"5,024 View(s)",
330 (1),1676135167-491,Cardiologist,350 EGP,5,Waiting Time : 10 Minutes,Maadi Ring Road,From 7 Visitors,693 View(s),
331 (1),1676135171-492,Gynecologist,300 EGP,4.5,Waiting Time : 22 Minutes,El-Maadi,From 76 Visitors,"5,224 View(s)",
332 (1),1676135180-493,Ophthalmologist,250 EGP,5,Waiting Time : 7 Minutes,Nasr City : Mohamed Radwan ST _ Al Hay Al Asher,From 138 Visitors,"3,298 View(s)",
333 (1),1676135184-494,Dentist,200 EGP,5,Waiting Time : 8 Minutes,Heliopolis,From 60 Visitors,"1,336 View(s)",
334 (1),1676135191-495,General Surgeon,200 EGP,4.5,Waiting Time : 25 Minutes,Shibin El-Kom,From 50 Visitors,"4,388 View(s)",
335 (1),1676135194-496,Endocrinologist,300 EGP,4.5,Waiting Time : 22 Minutes,north teseen street,From 51 Visitors,"1,667 View(s)",
336 (1),1676135197-497,Pediatrician,250 EGP,4.5,Waiting Time : 13 Minutes,Nasr City,From 10 Visitors,"1,064 View(s)",
337 (1),1676135204-498,Surgical Oncologist,300 EGP,5,Waiting Time : 19 Minutes,El-Giza : mourad,From 20 Visitors,"2,754 View(s)",
338 (1),1676135208-499,Cardiologist,400 EGP,5,Waiting Time : 8 Minutes,6th of October,From 240 Visitors,"6,813 View(s)",
339 (1),1676128321-26,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,684 View(s)",1048
340 (1),1676128327-27,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,166 View(s)",1048
341 (1),1676128331-28,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,724 View(s)",1048
342 (1),1676128336-29,Gynecologist,150 EGP,,null,El-Haram,null,"1,135 View(s)",1048
343 (1),1676128342-30,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,032 View(s)",1048
344 (1),1676128356-31,Gynecologist,500 EGP,4.5,Waiting Time : 10 Minutes,New Cairo : abdallah ibn salama,From 102 Visitors,"7,060 View(s)",...
345 (1),1676128365-32,Pediatrician,200 EGP,4.5,Waiting Time : 12 Minutes,Miamy,From 98 Visitors,"5,678 View(s)",...
346 (1),1676128372-33,Orthopedist,400 EGP,4.5,Waiting Time : 3 Hours and 27 Minutes,El-Maadi :  ElNasr,From 202 Visitors,"25,759 View(s)",...
347 (1),1676128377-34,Cardiologist,500 EGP,4.5,Waiting Time : 34 Minutes,El-Sheikh Zayed : Twin Towers-Elmehwar Elmarkazi,From 733 Visitors,"24,457 View(s)",...
348 (1),1676128382-35,Cardiologist,300 EGP,5,Waiting Time : 22 Minutes,El-Maadi : 4 street 100 from street 105 - Horria sq Maadi,From 475 Visitors,"29,833 View(s)",...
349 (1),1676128388-36,Dermatologist,400 EGP,4.5,Waiting Time : 44 Minutes,Faisal : king Faisal St -tamimi,From 1479 Visitors,"119,042 View(s)",...
350 (1),1676128397-37,General Surgeon,200 EGP,4.5,Waiting Time : 1 Hour,Bakos : Moastafa kamel,From 520 Visitors,"101,604 View(s)",...
351 (1),1676128404-38,Orthopedist,200 EGP,4.5,Waiting Time : 1 Hour and 4 Minutes,El-Haram,From 1263 Visitors,"80,481 View(s)",...
352 (1),1676128410-39,Orthopedist,300 EGP,4.5,Waiting Time : 16 Minutes,6th of October,From 1011 Visitors,"38,611 View(s)",...
353 (1),1676128416-40,ENT Doctor,400 EGP,4.5,Waiting Time : 1 Hour and 28 Minutes,Heliopolis : Triumph square (Nakhla moteey),From 672 Visitors,"63,238 View(s)",...
354 (1),1676128430-41,Pulmonologist,250 EGP,4.5,Waiting Time : 29 Minutes,El-Matareya : Beet El Ezz 2 building - Matareya square - Building A - Third floor,From 296 Visitors,"25,292 View(s)",
355 (1),1676128436-42,Psychiatrist,800 EGP,4,Waiting Time : 1 Hour and 46 Minutes,Heliopolis : Esmail Ramzy Street,From 417 Visitors,"85,161 View(s)",
356 (1),1676128441-43,Dermatologist,400 EGP,4.5,Waiting Time : 21 Minutes,El-Manyal : Manial,From 276 Visitors,"40,017 View(s)",
357 (1),1676128446-44,Urologist,300 EGP,4.5,Waiting Time : 36 Minutes,El-Zaitoun : salim el-Awal st.,From 26 Visitors,"10,707 View(s)",
358 (1),1676128452-45,Allergist,300 EGP,4.5,Waiting Time : 44 Minutes,Faisal : king faisal street,From 213 Visitors,"18,892 View(s)",
359 (1),1676128457-46,Cardiologist,250 EGP,4.5,Waiting Time : 48 Minutes,El-Mohandessin : Omar Toson,From 92 Visitors,"10,858 View(s)",
360 (1),1676128462-47,Gynecologist,200 EGP,4.5,Waiting Time : 12 Minutes,El-Obour City : Al Obour center,From 32 Visitors,"5,424 View(s)",
361 (1),1676128467-48,Nutritionist,200 EGP,4.5,Waiting Time : 27 Minutes,Faisal,From 663 Visitors,"39,933 View(s)",
362 (1),1676128471-49,Orthopedist,300 EGP,4.5,Waiting Time : 22 Minutes,Faisal : king faisal,From 497 Visitors,"27,495 View(s)",
363 (1),1676128475-50,Oncologist,500 EGP,5,Waiting Time : 20 Minutes,El-Maadi : ElNasr,From 389 Visitors,"32,199 View(s)",
364 (1),1676133184-352,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,694 View(s)",1048
365 (1),1676133187-353,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,175 View(s)",1048
366 (1),1676133190-354,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,736 View(s)",1048
367 (1),1676133193-355,Gynecologist,150 EGP,,null,El-Haram,null,"1,146 View(s)",1048
368 (1),1676133196-356,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,042 View(s)",1048
369 (1),1676133202-357,Audiologist,300 EGP,4.5,Waiting Time : 18 Minutes,Faisal : fisal street,From 121 Visitors,"12,864 View(s)",...
370 (1),1676133205-358,Physiotherapist,200 EGP,4,Waiting Time : 15 Minutes,El-Maadi : street 287,From 56 Visitors,"6,220 View(s)",...
371 (1),1676133211-359,Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,El-Mansoura,From 256 Visitors,"22,782 View(s)",...
372 (1),1676133214-360,Dentist,150 EGP,4.5,Waiting Time : 30 Minutes,Nasr City :  Mohamed Almakreif,From 206 Visitors,"17,160 View(s)",...
373 (1),1676133217-361,Dentist,300 EGP,4.5,Waiting Time : 10 Minutes,Madinaty : Medical Center,From 107 Visitors,"27,830 View(s)",...
